name, addresses, type
Gavin Andresen faucet donation (2x),15ArtCgi3wmpQAAfYx4riaFmo4prJA4VsK-15VjRaDX9zpbA8LVnbrCAFzrVzN7ixHNsC,D
Bitcointalk Forum,17RTTUAiiPqUTKtEggJPec8RxLMi2n9EZ9,D
Bitcoin Foundation,1BTCorgHwCg6u2YSAWKgS17qUad6kHmtQW,D
I2P (2x),1BPdWwovytfGdBwUDVgqbMZ8omcPQzshpX-1HkJCceXf7of1sTNRVJbXiZHfDTLL71Siy,D
WikiLeaks (2x),1HB5XMLmzFVj8ALj6mfBsbifRoD4miY36v-1MaXZE92yjuy4NYjTspmdWHMRT3jQUcTf4,D
bitcoingamer.com,1MCwBbhNGp5hRm5rC1Aims2YFRe2SXPYKt,D
donateathome.org,19b62wRL6hGEWa1bLbkdjaiWvZm1C56XuL,D
Bitcoin100.org,1BTC1oo1J3MEt5SFj74ZBcF2Mk97Aah4ac,D
Torservers (4x),1KLhvgi9exzvea7fr1CNdHroDC28SkkvEL-1GvVpDGM426bHp2eXwHzwDNqv8g2xyfznJ-1hX1PFASwcShnB7VyGpfbdBK8LbhGD7dt-1N5sJeuxCCtG8mXxhgHD3H7W5FWTHK3H21,D
bitcoin.gw.gd/,1va4sqj5AFnMYicD7JzhDfxauk5w6Uuug,D
Free Software Foundation,1PC9aZC4hNX2rmmrt7uHTfYAS3hRbph4UN,D
Free Ross,1Ross5Np5doy4ajF9iGXzgKaC2Q3Pwwxv,D
The Freenet Project,1966U1pjj15tLxPXZ19U48c99EJDkdXeqb,D
Freedomain Radio,1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs,D
Seans Outpost,1M72Sfpbz1BPpXFHz9m3CdqATR44Jvaydd,D
Singularity Institute,1HUrNJfVFwQkbuMXwiPxSQcpyr3ktn1wc9,D
Raided for To,1CPKAMtD4bcLrh8SRHfSxBBMmQQ5cqahPZ,D
Tbilisi Georgia flood victims,1LkTTA9z3isp7j5yPV691rgkk3N1QfdSsD,D
antiwar.com,1M87hiTAa49enJKVeT9gzLjYmJoYh9V98,D
BitGive Foundation,1PEoUKNxTZsc5rFSQvQjeTVwDE9vEDCRWm,D
Lifeboat Foundation (2x),1LifeboatVPg24QghZ73Dzrx8AxcJLCnoA-17aDRzRQK8ccBLVBzsms3ZasVKc9q3o3Qk,D
AnonNews,1PPVupRRz7tHvfvJWEDBnDr7bFVFFYLu6G,D
BitNovosti,1FTgzPJCbpCWYfF6VxPdmCMPUDBfygut2h,D
Juice Rap News,1ESKsNEfjmCZJt3yEYjdE31L1QKqnRVcmn,D
Free Snowden,1snowqQP5VmZgU47i5AWwz9fsgHQg94Fa,D
Bitcoin-otc,1F1dPZxdxVVigpGdsafnZ3cFBdMGDADFDe,D
DiasporaProject.org,1H63WEQbK45K3xgC7DRfphMWMJMZHrX542,D
Free State Project,18LDvu2nqr8a5AK9AHkkqDK6Z65dzbTgtn,D
open-nodes.org,1CQUH3rYPYLdn8Sg5TRjzaCn4zrvjNE8RU,D
Group B Strep International,1G85cQXETuGeMGvniv5SuMACegCR6L51A5,D
Seasteading Institute (2x),1FexWDptSXFWsZvdLoBckZgVFWytHjsSu8-1NCiZjzHpsXFBPXFTLbbBCwogJezdWpoAB,D
Internet Archive,1Archive1n2C579dMsAu3iC6tWzuQJz8dN,D
BUND Berlin e.V.,1BboU9QH4kcNeDqdr7xBUZ4GrFgfhNaVBd,D
Wikimedia New York City,1F4Ka3nHH3Ef1P2f66AwLEqwHo6J9wFHKC,D
Tails Project,1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,D
wizkid057 Eligius mining pool stats (2x),1E1igiusfEjs1pCaGjEERExE9gYcrFwow7-1StatsQytc7UEZ9sHJ9BGX2csmkj8XZr2,D
FreedomBox Foundation (2x),1MyZjxnLgun6APrDkkh7ffrQJyy6xbuDho-1KSUpxwAudJLnpJtqaCzYaGE9Yy1RQDhKR,D
GPGTools,14rDamyE53BNLPSj4cku6ZXiW6xbBdMJ97,D
Defense Distributed,12R4kPeSK6i9427ctH15j2NcJ1ST1FT21C,D
BFGMiner,1QATWksNFGeUJCWBrN4g6hGM178Lovm7Wh,D
Digital Precursor,1DjkcdQgkpa3obWPTnbxk7gcsW6qS7h7ni,D
Mailpile,13z55AGS14pSPiPpMqAAFHb576tSmSmR77,D
Multidisciplinary Association for Psychedelic Studies (MAPS),1MnCMV9DyVdDZWMfjymbLDKv48UKhoXHEz,D
Hackerspace Prague,1BRMLAB7nryYgFGrG8x9SYaokb8r2ZwAsX,D
Voat.co,1C4Q1RvUb3bzk4aaLVgGccnSnaHYFdESzY,D
MultiBit,1AhN6rPdrMuKBGFDKR1k9A8SCLYaNgXhty,D
Erowid.org (3x),1ALzEGMCU5EmycJZVCpAymXEaUVkV3V2cp-17LYqSzhuWksgoGsgakiWBG8PmbCKyrrac-1DA1Lz3zmr5hLgCZdX5N9QBBj26iDzCBou,D
OpenGameArt,1Q1Vh8Mfr2yNeDogtJWNLMZCdxteCwbueE,D
Whonix,1JgzCCSox56Sh4NnQJqRiwoxKi8oVSZBEd,D
ReactOS Project,1PWiRE16PJsEuax2Yr7EuK93q3ueDB58AE,D
CoinDance,1CoiNdAncefGNqyMJtFFjBrdUFnP1nwqLQ,D
Blockr,1HUHWFdSCtDSNFVcTdsgEfAnBVTezCuKaL,D
Online-Convert,1B7VVSq363HU9AWHG2Y5GWgEeBdGq3URi8,D
XKCD,14Tr4HaKkKuC1Lmpr2YMAuYVZRWqAdRTcr,D
Apache Software Foundation,1BtjAzWGLyAavUkbw3QsyzzNDKdtPXk95D,D
DokuWiki,1Dokuw1Ki8dGk4p2hAWZv4TwGj8Ax1Vcqz,D
Diagram,1NxRxasGJTzUifTbcvbxoReWC1s48sP9Nr,D
DOSBox,1BwXUekP4sFiR7kcqBxWrCYXU8ZAWQRbFK,D
DUPLICATI,1LSRaoUMHe6W7SZaPwdW5KffRKmyqGrDWN,D
F-Droid,15u8aAPK4jJ5N8wpWJ5gutAyyeHtKX5i18,D
GIMP,1NVMCeoBfTAJQ1qwX2Dx1C8zkcRCQWwHBq,D
Libre,1H9b5XiLeMnXzfxysqKJf9tn6ysWSH5TCT,D
Linux-Mint,1PQCrkzWweCw4huVLcDXttAZbSrrLbJ92L,D
Loomio,1NZUad77HN5KwHCmQGZGN1VpCyrqXYSpYK,D
Netzpolitik,1FMHxhVJo6RREtfaLDVMA1VvoKV1jc12av,D
